expID	subjectNo	expNo	expType	date	time
s46e1td	46	1	td	NA	NA
s46e4vi	46	4	vi	NA	NA
s46e9ir	46	9	ir	NA	NA
s46e5st	46	5	st	2012-10-04	16:50:56
s46e2st	46	2	st	2012-10-04	16:50:56
s46e3rk	46	3	rk	NA	NA
s46e6ir	46	6	ir	NA	NA
s12e11vt	12	11	vt	2009-04-04	17:26:14
s12e10cr	12	10	cr	2009-04-04	17:08:44
s12e15cr	12	15	cr	2009-04-07	16:16:47
s12e1td	12	1	td	NA	NA
s12e17vt	12	17	vt	2009-04-07	18:09:40
s12e4cr	12	4	cr	2009-04-03	18:04:25
s12e3sc	12	3	sc	NA	NA
s12e2td	12	2	td	NA	NA
s12e13ef	12	13	ef	2009-04-07	12:48:23
s12e14sp	12	14	sp	2009-04-07	13:02:12
s12e8rg	12	8	rg	2009-04-04	12:35:32
s12e18bp	12	18	bp	NA	NA
s12e16sc	12	16	sc	NA	NA
s12e12rg	12	12	rg	2009-04-04	17:37:50
s12e7bp	12	7	bp	NA	NA
s12e5sp	12	5	sp	2009-04-03	18:11:58
s12e6ef	12	6	ef	2009-04-03	18:40:59
s12e9sp	12	9	sp	2009-04-04	12:43:17
s33e4ir	33	4	ir	2011-06-28	16:31:46
s33e2td	33	2	td	NA	NA
s33e3ir	33	3	ir	2011-06-28	12:18:56
s33e6ir	33	6	ir	2011-06-29	12:35:28
s33e5sr	33	5	sr	2011-06-28	18:32:36
s33e7rk	33	7	rk	NA	NA
s33e8cf	33	8	cf	NA	NA
s33e1td	33	1	td	NA	NA
s36e4ef	36	4	ef	2011-11-04	17:39:18
s36e5ir	36	5	ir	2011-11-05	12:04:30
s20e5ef	20	5	ef	2010-06-11	12:09:50
s20e3oi	20	3	oi	2010-06-10	12:51:07
s20e9oi	20	9	oi	2010-06-13	15:36:17
s20e13cr	20	13	cr	2010-06-15	16:24:25
s20e8cr	20	8	cr	2010-06-13	15:09:27
s20e2td	20	2	td	NA	NA
s20e10ef	20	10	ef	2010-06-14	11:49:52
s20e1td	20	1	td	NA	NA
s20e12oi	20	12	oi	2010-06-15	16:09:25
s20e4sr	20	4	sr	2010-06-10	16:13:19
s20e7cf	20	7	cf	2010-06-13	11:59:15
s20e11cc	20	11	cc	2010-06-15	15:44:28
s20e6cc	20	6	cc	2010-06-12	14:48:46
s4e25td	4	25	td	NA	NA
s4e13td	4	13	td	NA	NA
s4e33vt	4	33	vt	NA	NA
s4e9td	4	9	td	NA	NA
s4e19td	4	19	td	NA	NA
s4e4td	4	4	td	NA	NA
s4e2td	4	2	td	NA	NA
s4e21td	4	21	td	NA	NA
s4e41rg	4	41	rg	NA	NA
s4e12td	4	12	td	NA	NA
s4e31rg	4	31	rg	NA	NA
s4e14td	4	14	td	NA	NA
s4e32rg	4	32	rg	NA	NA
s4e5td	4	5	td	NA	NA
s4e26td	4	26	td	NA	NA
s4e30rg	4	30	rg	NA	NA
s4e1td	4	1	td	NA	NA
s4e42vt	4	42	vt	NA	NA
s4e22td	4	22	td	NA	NA
s4e27rg	4	27	rg	NA	NA
s4e23td	4	23	td	NA	NA
s4e3td	4	3	td	NA	NA
s4e18td	4	18	td	NA	NA
s4e38rg	4	38	rg	NA	NA
s4e37vt	4	37	vt	NA	NA
s4e29vt	4	29	vt	NA	NA
s4e20td	4	20	td	NA	NA
s4e17td	4	17	td	NA	NA
s4e16td	4	16	td	NA	NA
s4e24td	4	24	td	NA	NA
s4e6td	4	6	td	NA	NA
s4e28af	4	28	af	NA	NA
s4e11td	4	11	td	NA	NA
s4e7td	4	7	td	NA	NA
s4e10td	4	10	td	NA	NA
s4e15td	4	15	td	NA	NA
s4e8td	4	8	td	NA	NA
s8e1td	8	1	td	NA	NA
s8e3cr	8	3	cr	NA	NA
s8e4sc	8	4	sc	NA	NA
s8e2td	8	2	td	NA	NA
s3e2td	3	2	td	NA	NA
s3e20td	3	20	td	NA	NA
s3e17af	3	17	af	NA	NA
s3e16td	3	16	td	NA	NA
s3e8bp	3	8	bp	NA	NA
s3e9rg	3	9	rg	NA	NA
s3e19td	3	19	td	NA	NA
s3e6rg	3	6	rg	NA	NA
s3e14td	3	14	td	NA	NA
s3e4vt	3	4	vt	NA	NA
s3e5vt	3	5	vt	NA	NA
s3e11bp	3	11	bp	NA	NA
s3e10vt	3	10	vt	NA	NA
s3e21bp	3	21	bp	NA	NA
s3e15td	3	15	td	NA	NA
s3e1td	3	1	td	NA	NA
s3e7vt	3	7	vt	NA	NA
s3e3td	3	3	td	NA	NA
s3e12af	3	12	af	NA	NA
s3e13vt	3	13	vt	NA	NA
s3e18rg	3	18	rg	NA	NA
s19e2td	19	2	td	NA	NA
s19e6oi	19	6	oi	2010-03-11	14:47:37
s19e4td	19	4	td	NA	NA
